Company Name,Address,Phone,Website
Thornbridge Investment Management LLP,13 Austin Friars    London  EC2N 2HE UNITED KINGDOM , 44 2039724510 ,www.thornbridge.com
Schroder Investment Management Ltd,1 London Wall Place    London  EC2Y 5AU UNITED KINGDOM , 44 2076586000 ,http://www.schroders.com/
Rathbone Investment Management Limited,8 Finsbury Circus    London  EC2M 7AZ UNITED KINGDOM , 44 02073990000 ,www.rathbones.com
Legal & General Investment Management Ltd,One Coleman Street    London  EC2R 5AA UNITED KINGDOM , 44 02031242000 ,www.lgim.com
Raymond James Investment Services Ltd,Broadwalk House 5 Appold Street   London  EC2A 2AG UNITED KINGDOM , 44 2037983000 ,http://www.raymondjames.uk.com/
Investec Wealth & Investment Limited,30 Gresham Street    London  EC2V 7QN UNITED KINGDOM , 44 2075971234 ,www.investecwin.co.uk
Hermes Investment Management Ltd,150 Cheapside    London  EC2V 6ET UNITED KINGDOM , 44 02077020888 ,www.hermes-investment.com
M&G Investment Management Limited,Governors House 5 Laurence Pountney Hill   London  EC4R 0HH UNITED KINGDOM , 44 2070044145 ,www.mandg.co.uk
BlackRock Investment Management (UK) Limited,12 Throgmorton Avenue    London  EC2N 2DL UNITED KINGDOM , 44 02077433000 ,-
Smith & Williamson Investment Services Limited,25 Moorgate    London  EC2R 6AY UNITED KINGDOM , 44 02071314000 ,www.smithandwilliamson.com
AXA Investment Managers UK Ltd,7 Newgate Street    London  EC1A 7NX UNITED KINGDOM , 44 02070031000 ,www.axa-im.co.uk
FIL Investment Services (UK) Limited,Oakhill House 130 Tonbridge Road Hildenborough  Tonbridge Kent TN11 9DZ UNITED KINGDOM , 44 01732361144 ,www.fidelity.co.uk
Insight Investment Management (Global) Limited,160 Queen Victoria St    London  EC4V 4LA UNITED KINGDOM , 44 02071634000 ,www.insightinvestment.com
Henderson Investment Funds Limited,201 Bishopsgate    LONDON  EC2M 3AE UNITED KINGDOM , 44 02078181818 ,www.janushenderson.com
